Customer_ID,Customer_Name,Customer_Email,Age,Gender,Location,Campaign_ID,Email_ID,Email_Subject,Clicked,Purchase
CUST1,Paul Orr,david16@example.com,39,Non-Binary,Hendersonmouth,CAMP1,EMAIL50,Unit international almost.,False,False
CUST2,Eric Chen,vbradshaw@example.org,19,Female,Port Loganland,CAMP1,EMAIL9,Job ahead federal everybody.,False,False
CUST3,Yvonne Williams,barnesandre@example.net,22,Non-Binary,New Christopher,CAMP1,EMAIL49,Break name plant race smile.,True,True
CUST4,Brian Butler,esalas@example.com,30,Female,Kellytown,CAMP1,EMAIL15,Couple draw ahead notice respond team.,False,False
CUST5,Paul Reyes,david67@example.net,52,Non-Binary,Wrightton,CAMP1,EMAIL2,Must along film trade protect still.,False,False
CUST6,Brenda Steele,christinemoore@example.org,23,Non-Binary,Gregoryborough,CAMP1,EMAIL1,Agency within mean piece protect debate.,False,False
CUST7,Anna Morris,jessica45@example.org,25,Non-Binary,Lake Kevin,CAMP1,EMAIL25,Many business final.,False,False
CUST8,Margaret Perez,amanda65@example.com,30,Non-Binary,New David,CAMP1,EMAIL47,Part study soon window serious.,False,False
CUST9,Robert Young,roachnicholas@example.org,22,Non-Binary,New Codyshire,CAMP1,EMAIL30,Support second we chair reason both.,True,False
CUST10,Kevin Williamson,obell@example.com,22,Female,Duncanview,CAMP1,EMAIL42,Job ahead federal everybody.,False,False
CUST11,Amanda Riley,amyfuentes@example.org,53,Male,Sarahchester,CAMP1,EMAIL24,Go break body.,False,False
CUST12,Joe Perez,michael11@example.com,63,Female,Marytown,CAMP1,EMAIL4,Child sign small more character seven.,False,False
CUST13,Nichole Hammond,josephlambert@example.net,57,Non-Binary,Millerbury,CAMP1,EMAIL43,Go break body.,False,False
CUST14,Mark Copeland,carrolljared@example.net,53,Non-Binary,Davischester,CAMP1,EMAIL32,Actually point program Republican crime radio.,True,False
CUST15,Christine Gardner,barbara50@example.net,48,Female,East Mckenzie,CAMP1,EMAIL26,Must along film trade protect still.,True,True
CUST16,Linda Hernandez,uholland@example.net,61,Male,Petertown,CAMP1,EMAIL18,Art difficult magazine from agent small.,True,True
CUST17,Laura Davis,catherine04@example.org,43,Male,South Matthewhaven,CAMP1,EMAIL28,Couple draw ahead notice respond team.,False,False
CUST18,Wendy Walker,gamblelaura@example.net,43,Non-Binary,Dennismouth,CAMP1,EMAIL15,Much kind share case training.,False,False
CUST19,Amanda Malone,sheltonbrian@example.net,65,Male,Chadfurt,CAMP1,EMAIL43,Many business final.,False,False
CUST20,Jennifer Wright,david96@example.net,33,Female,West Edgarchester,CAMP1,EMAIL40,Dog they teach world area agree.,False,False
CUST21,Richard Ramirez,ucosta@example.net,40,Female,West Jessicatown,CAMP1,EMAIL11,Ok manager high.,False,False
CUST22,Dennis Soto,allenamanda@example.net,59,Non-Binary,Sherryfurt,CAMP1,EMAIL12,Continue usually travel state.,False,False
CUST23,Ryan Brown,gallaghermark@example.org,30,Male,Port Michaelborough,CAMP1,EMAIL49,Test message data white face.,True,True
CUST24,Nicole Cummings,jenniferlopez@example.org,48,Male,East Amandaville,CAMP1,EMAIL13,Page high management there chance outside.,True,False
CUST25,Matthew Bentley,aaron43@example.org,29,Male,Lake Dalefort,CAMP1,EMAIL44,Break name plant race smile.,True,False
CUST26,Megan Callahan,halldaniel@example.org,33,Female,East Benjamin,CAMP1,EMAIL33,Life debate top.,False,False
CUST27,Monica Munoz,anthony41@example.com,42,Female,East Christyland,CAMP1,EMAIL16,Occur there worker lawyer back continue.,False,False
CUST28,Angela Roberts,mirandadavid@example.net,56,Male,North Kelli,CAMP1,EMAIL41,Deep not sometimes.,True,True
CUST29,Lauren Contreras,laura73@example.org,38,Male,Jonathanmouth,CAMP1,EMAIL28,National including name science lawyer.,True,False
CUST30,Dr. Carol Smith MD,andrew10@example.com,19,Non-Binary,Port Michaelstad,CAMP1,EMAIL40,Agency within mean piece protect debate.,False,False
CUST31,Jordan Soto,matthewsrichard@example.com,41,Male,Laneshire,CAMP1,EMAIL20,Deep not sometimes.,False,False
CUST32,Matthew Gonzalez,wmckenzie@example.org,25,Female,South Williamchester,CAMP1,EMAIL29,Child sign small more character seven.,False,False
CUST33,David Dudley,sherrymartin@example.com,64,Female,Ashleytown,CAMP1,EMAIL28,Ok manager high.,True,False
CUST34,Susan Molina,robertschneider@example.org,63,Female,Trevormouth,CAMP1,EMAIL11,Tend heavy produce.,True,True
CUST35,Taylor Taylor,codystokes@example.org,27,Female,West Sarahmouth,CAMP1,EMAIL6,Subject machine yard rather room sort.,True,False
CUST36,Michelle Murphy,udecker@example.org,45,Female,Beckerport,CAMP1,EMAIL10,Support second we chair reason both.,True,False
CUST37,Ryan Campos PhD,alexis19@example.org,35,Non-Binary,West Nicolebury,CAMP1,EMAIL40,Environment standard mother career effort whether.,False,False
CUST38,John Henry,wburnett@example.net,48,Female,East Kelly,CAMP1,EMAIL15,Must along film trade protect still.,True,True
CUST39,Amanda Williams,srobinson@example.org,32,Non-Binary,North Brittany,CAMP1,EMAIL5,Difference bed give available determine.,False,False
CUST40,Sally Davis,pskinner@example.net,46,Male,West Wesley,CAMP1,EMAIL50,Life debate top.,False,False
CUST41,Kristina Ortega,richard77@example.org,21,Female,Steinport,CAMP1,EMAIL30,At hit significant station.,True,False
CUST42,Amy Cooper,nmccullough@example.com,34,Non-Binary,Robertton,CAMP1,EMAIL1,Dog they teach world area agree.,True,True
CUST43,Adam Miranda,haleymary@example.net,62,Female,North Marc,CAMP1,EMAIL48,Support second we chair reason both.,False,False
CUST44,Kelly Sawyer,andrea40@example.org,23,Female,Kristinaport,CAMP1,EMAIL44,Support second we chair reason both.,False,False
CUST45,Amanda Tapia,patricksamuel@example.org,35,Female,New Michael,CAMP1,EMAIL14,Necessary game whatever certainly serve.,True,False
CUST46,Patrick Watts,patriciamoss@example.org,65,Female,East Michelle,CAMP1,EMAIL12,Skin difference such above bring.,False,False
CUST47,Stephanie Cabrera,oaguilar@example.net,23,Female,Justinberg,CAMP1,EMAIL5,Much kind share case training.,False,False
CUST48,Keith Lyons,qstevens@example.org,53,Non-Binary,New Coreytown,CAMP1,EMAIL29,Occur there worker lawyer back continue.,True,False
CUST49,Jennifer Mccoy,ynixon@example.net,46,Non-Binary,Wagnertown,CAMP1,EMAIL5,Environment standard mother career effort whether.,True,True
CUST50,Larry Freeman,qbarnett@example.com,20,Non-Binary,Port Jeremy,CAMP1,EMAIL7,Subject machine yard rather room sort.,True,True
CUST51,Scott King,mcunningham@example.net,33,Female,Johnville,CAMP1,EMAIL27,Past ball single fish course top.,True,False
CUST52,Jonathan Kerr,sarah61@example.com,51,Non-Binary,Meghanport,CAMP1,EMAIL27,Watch mind news.,True,False
CUST53,Gregory Ray,watsontammy@example.com,21,Female,Freyport,CAMP1,EMAIL34,Democratic lead this.,True,True
CUST54,Kathleen Price,nicolesnyder@example.org,26,Non-Binary,South Jodi,CAMP1,EMAIL28,Tend heavy produce.,True,False
CUST55,Robert Gilmore,pbarber@example.net,56,Female,Harveyfort,CAMP1,EMAIL43,Job ahead federal everybody.,True,True
CUST56,Christina Sandoval,djohnson@example.net,25,Male,Byrdport,CAMP1,EMAIL29,Continue usually travel state.,True,False
